4.096000	4.741000	DOOR
7.045000	7.491000	DOOR
8.786000	10.796000	ANNOUNCEMENT
10.029000	10.659000	UNKNOWN
10.954000	11.179661	TROLLEY
11.082000	12.461000	ANNOUNCEMENT
11.218000	11.679000	TROLLEY
11.840000	12.369000	TROLLEY
13.043000	14.458000	ANNOUNCEMENT
14.111000	14.479000	UNKNOWN
15.952000	19.405000	ANNOUNCEMENT
17.687000	18.129000	PERCUSSIVE
19.812000	20.290000	PERCUSSIVE
20.606000	23.328000	ANNOUNCEMENT
22.756000	22.998000	PERCUSSIVE
24.113000	28.405000	ANNOUNCEMENT
25.228000	25.769000	PERCUSSIVE
29.289000	29.800000	ANNOUNCEMENT
29.289000	35.908000	ANNOUNCEMENT
29.972000	30.338000	ANNOUNCEMENT
30.599000	30.822000	PERCUSSIVE
30.786426	31.223000	ANNOUNCEMENT
31.310000	31.672000	PERCUSSIVE
37.904000	38.146000	DOOR
38.072000	59.153219	MUSIC
39.705000	39.912000	TROLLEY
45.032000	45.468000	PERCUSSIVE
46.425000	46.776000	TROLLEY
53.186000	53.482000	PERCUSSIVE
53.790000	54.088000	PERCUSSIVE
54.515000	54.822000	PERCUSSIVE
55.203000	55.494000	PERCUSSIVE
59.682000	60.036000	PERCUSSIVE
64.020000	64.325000	PERCUSSIVE
64.325000	64.635000	PERCUSSIVE
73.335000	73.635000	TROLLEY
83.344000	83.596000	TROLLEY
88.757000	89.054000	TROLLEY
92.448000	92.642000	PERCUSSIVE
93.367000	93.718000	PERCUSSIVE
96.640000	97.071000	PERCUSSIVE
101.699000	101.952000	PERCUSSIVE
127.144000	127.610000	UNKNOWN
134.884000	135.294000	DOOR
137.369000	138.109000	DOOR
141.955000	142.357000	PERCUSSIVE
143.966000	144.271000	PERCUSSIVE
159.657000	160.790000	DOOR
162.532000	163.135000	DOOR
173.298000	173.744000	PERCUSSIVE
204.718000	205.235000	PERCUSSIVE
