23.841587	24.02907	SED_8
24.497777	33.496961	SED_8
33.590702	33.62195	SED_8
33.715691	33.996916	SED_8
38.965215	39.715147	SED_8
59.682086	61.463174	SED_8
61.775646	69.681179	SED_8
69.899909	69.931156	SED_8
69.962403	70.431111	SED_8
71.399773	71.43102	SED_8
112.802267	113.239727	SED_8
120.520317	120.92653	SED_8
123.426303	123.613786	SED_8
123.926258	124.707437	SED_8
139.89356	139.924807	SED_8
140.049795	140.11229	SED_8
166.516145	166.859863	SED_8
168.515963	168.828435	SED_8
191.170158	191.326394	SED_8
197.54458	198.638231	SED_8
212.574467	223.854693	SED_8
223.917188	223.948435	SED_8
233.541315	234.228752	SED_8
